variable,description,raw_variables,raw_labels,raw_value_labels,units,english_categories,missing_and_derivation_rule,predictor_role,expanded_predictor_role
caries,Prevalent cavitated caries: at least one clinically observed decayed tooth,m5p5 + m5p8,m5p5: m5p5. Número total de dientes CARIADOS en el maxilar SUPERIOR | m5p8: m5p8. Número total de dientes CARIADOS en el maxilar INFERIOR,"{""m5p5"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""m5p8"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}}",binary 0/1,{},"Negative special codes and nonfinite values become missing. 1 if decayed_teeth >0, 0 if zero, missing if either jaw outcome missing. No outcome imputation.",outcome/design/cohort,outcome/design/cohort or ancillary
weight,"Joint F1/F2 calibrated expansion weight, supplied by ENS",Fexp_F1F2p_Corr,"Fexp_F1F2p_Corr: Fexp_F1F2p_CorrPonderador Postestratificado 120 celdas, Truncado Absoluto p99,5%","{""Fexp_F1F2p_Corr"": {}}",represented persons,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,outcome/design/cohort,outcome/design/cohort or ancillary
stratum,Survey sampling stratum,Estrato,Estrato: Estrato,"{""Estrato"": {}}",identifier/indicator,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,outcome/design/cohort,outcome/design/cohort or ancillary
psu,Primary sampling unit (Conglomerado),Conglomerado,Conglomerado: Conglomerado,"{""Conglomerado"": {}}",identifier/indicator,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,outcome/design/cohort,outcome/design/cohort or ancillary
eligible,Dentate participant with both remaining-tooth counts observed,m5p3 + m5p6,m5p3: m5p3. Número total de dientes REMANENTES en el maxilar SUPERIOR | m5p6: m5p6. Número total de dientes REMANENTES en el maxilar INFERIOR,"{""m5p3"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""m5p6"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}}",identifier/indicator,{},Negative special codes and nonfinite values become missing. teeth_remaining >0; missing examination is not eligible. Outcome completeness checked in audit.,outcome/design/cohort,outcome/design/cohort or ancillary
paper_complete,Eligible participant with observed education and water intake; manuscript cohort reconstruction,m5p3 + m5p6 + NEDU1_MINSAL_1 + die11,m5p3: m5p3. Número total de dientes REMANENTES en el maxilar SUPERIOR | m5p6: m5p6. Número total de dientes REMANENTES en el maxilar INFERIOR | NEDU1_MINSAL_1: Clasificacion Nivel Educacional_seleccionado (MINSAL) | die11: die11. ¿Cuántos vasos de agua al día consume Usted? Muestre Tarjeta 22,"{""m5p3"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""m5p6"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16""}, ""NEDU1_MINSAL_1"": {""1.0"": ""< 8 años"", ""2.0"": ""8-12 años"", ""3.0"": ""13 o más años""}, ""die11"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16"", ""17.0"": ""17"", ""18.0"": ""18"", ""19.0"": ""19"", ""20.0"": ""20"", ""21.0"": ""21"", ""22.0"": ""22"", ""23.0"": ""23"", ""24.0"": ""24"", ""25.0"": ""25"", ""26.0"": ""26"", ""27.0"": ""27"", ""28.0"": ""28"", ""29.0"": ""29"", ""30.0"": ""30"", ""31.0"": ""31"", ""32.0"": ""32"", ""33.0"": ""33"", ""34.0"": ""34"", ""35.0"": ""35"", ""36.0"": ""36"", ""37.0"": ""37"", ""38.0"": ""38"", ""39.0"": ""39"", ""40.0"": ""40"", ""41.0"": ""41"", ""42.0"": ""42"", ""43.0"": ""43"", ""44.0"": ""44"", ""45.0"": ""45"", ""46.0"": ""46"", ""47.0"": ""47"", ""48.0"": ""48"", ""49.0"": ""49"", ""50.0"": ""50"", ""51.0"": ""OTRO VALOR, ESPECIFIQUE""}}",identifier/indicator,{},Negative special codes and nonfinite values become missing. eligible AND education observed AND water observed. Retain other predictor missingness.,outcome/design/cohort,outcome/design/cohort or ancillary
fish,Fish/seafood consumption frequency,die1a,die1a: die1a. ¿Con qué frecuencia come pescado o mariscos (cualquier tipo de preparación o presentación)?.,"{""die1a"": {""1.0"": ""MÁS DE UNA VEZ A LA SEMANA"", ""2.0"": ""1 VEZ A LA SEMANA"", ""3.0"": ""MENOS DE 3 VECES AL MES"", ""4.0"": ""MENOS DE 1 VEZ AL MES O NUNCA""}}",category,"{""1"": ""More than once/week"", ""2"": ""Once/week"", ""3"": ""Less than three times/month"", ""4"": ""Less than once/month or never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
dairy_frequency,Dairy consumption frequency,die2,"die2: die2. ¿Con qué frecuencia consume leche, queso, quesillo o yogurt?","{""die2"": {""1.0"": ""TRES O MÁS VECES AL DÍA"", ""2.0"": ""MENOS DE TRES VECES AL DÍA"", ""3.0"": ""UNA VEZ AL DÍA"", ""4.0"": ""DÍA POR MEDIO"", ""5.0"": ""AL MENOS UNA VEZ POR SEMANA"", ""6.0"": ""AL MENOS UNA VEZ POR MES"", ""7.0"": ""NUNCA""}}",category,"{""1"": ""At least three times/day"", ""2"": ""Less than three times/day"", ""3"": ""Once/day"", ""4"": ""Every other day"", ""5"": ""At least once/week"", ""6"": ""At least once/month"", ""7"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
dairy_type,"Usual dairy fat content, with structural category for nonconsumers",die2 + die3,"die2: die2. ¿Con qué frecuencia consume leche, queso, quesillo o yogurt? | die3: die3. ¿Qué tipo de lácteos como leche, quesillo o yogurt consume preferentemente?","{""die2"": {""1.0"": ""TRES O MÁS VECES AL DÍA"", ""2.0"": ""MENOS DE TRES VECES AL DÍA"", ""3.0"": ""UNA VEZ AL DÍA"", ""4.0"": ""DÍA POR MEDIO"", ""5.0"": ""AL MENOS UNA VEZ POR SEMANA"", ""6.0"": ""AL MENOS UNA VEZ POR MES"", ""7.0"": ""NUNCA""}, ""die3"": {""1.0"": ""SEMI DESCREMADOS, DESCREMADOS O BAJOS EN GRASAS"", ""2.0"": ""ENTEROS""}}",category,"{""1"": ""Reduced fat"", ""2"": ""Full fat"", ""structural"": ""No dairy""}",Negative special codes and nonfinite values become missing. If die2=7 set 'No dairy'; otherwise missing die3 remains missing.,primary,dietary intake
wholegrain,Wholegrain consumption frequency,die4,"die4: die4. ¿Con qué frecuencia consume usted algún tipo de cereal integral como pan integral, cereal integral o alimentos que contengan harinas integrales?","{""die4"": {""1.0"": ""MÁS DE UNA VEZ POR DÍA"", ""2.0"": ""A DIARIO"", ""3.0"": ""DÍA POR MEDIO"", ""4.0"": ""AL MENOS UNA VEZ POR SEMANA"", ""5.0"": ""AL MENOS UNA VEZ POR MES"", ""6.0"": ""NUNCA""}}",category,"{""1"": ""More than once/day"", ""2"": ""Daily"", ""3"": ""Every other day"", ""4"": ""At least once/week"", ""5"": ""At least once/month"", ""6"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
legumes,Legume consumption frequency,die5,"die5: die5. ¿Con qué frecuencia  consume usted algún tipo de legumbres como porotos, lentejas, arvejas, garbanzos? Muestre Tarjeta 18","{""die5"": {""1.0"": ""DOS O MÁS VECES POR SEMANA"", ""2.0"": ""AL MENOS UNA VEZ POR SEMANA"", ""3.0"": ""ENTRE UNA Y TRES VECES AL MES"", ""4.0"": ""MENOS DE UNA VEZ AL MES O NUNCA""}}",category,"{""1"": ""At least twice/week"", ""2"": ""At least once/week"", ""3"": ""One to three times/month"", ""4"": ""Less than once/month or never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
fruit_days,Fruit consumption days in a typical week,die6,"die6: die6. En una semana típica, ¿Cuántos días come Ud. frutas?","{""die6"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7""}}",days/week,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,die6 + die7,"die6: die6. En una semana típica, ¿Cuántos días come Ud. frutas? | die7: die7. ¿Cuántas porciones de frutas come en uno de esos días?  Muestre Tarjeta 19. N° de porciones:","{""die6"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7""}, ""die7"": {}}",portions/consumption day,{},Negative special codes and nonfinite values become missing. If die6=0 set 0; otherwise preserve missing die7. Do not clip large values.,primary,dietary intake
vegetable_days,Vegetable consumption days in a typical week,die8,"die8: die8. En una semana típica, ¿Cuántos días come Ud. verduras, hortalizas o ensaladas de verduras? No considerar papas ni legumbres","{""die8"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7""}}",days/week,{},Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,die8 + die9,"die8: die8. En una semana típica, ¿Cuántos días come Ud. verduras, hortalizas o ensaladas de verduras? No considerar papas ni legumbres | die9: die9. ¿Cuántas porciones de verduras u hortalizas o ensaladas de verduras come en uno de esos días? No considerar papas ni legumbres. Muestre tarjeta 20. N° de porciones:","{""die8"": {""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7""}, ""die9"": {}}",portions/consumption day,{},Negative special codes and nonfinite values become missing. If die8=0 set 0; otherwise preserve missing die9. Do not clip large values.,primary,dietary intake
label_ingredients,Frequency of checking/considering package ingredients,die10_a,die10_a: die10_a. ¿con qué frecuencia revisa y toma en cuenta los ingredientes y aditivos que el envase dice contener. Muestre sección de ingredientes en Tarjeta 21a,"{""die10_a"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
label_nutrition,Frequency of checking/considering package nutrition,die10_b,"die10_b: die10_b. ¿con qué frecuencia revisa y toma en cuenta la Información o tabla nutricional. Es decir la cantidad de calorías, grasas, proteínas, sal y otros. Muestre tabla nutricional en Tarjeta 21b","{""die10_b"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
label_warnings,Frequency of checking/considering package warnings,die10_c,"die10_c: die10_c. ¿con qué frecuencia revisa y toma en cuenta los sellos de advertencia (alto en sodio, alto en azúcares, alto en grasas saturadas, alto en calorías). Muestre mensaje nutricional en Tarjeta 21c","{""die10_c"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
label_health,Frequency of checking/considering package health,die10_d,die10_d: die10_d. ¿con qué frecuencia revisa y toma en cuenta los mensajes saludables que trae el envase como (el consumo de fibra reduce el colesterol). Muestre mensaje nutricional en Tarjeta 21d,"{""die10_d"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
label_brand,Frequency of checking/considering package brand,die10_e,die10_e: die10_e. ¿con qué frecuencia revisa y toma en cuenta la marca,"{""die10_e"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
label_discounts,Frequency of checking/considering package discounts,die10_f,"die10_f: die10_f. ¿con qué frecuencia revisa y toma en cuenta si tiene menor precio, por ejemplo, las promociones, ofertas, descuentos, regalos, entre otros.","{""die10_f"": {""1.0"": ""SIEMPRE"", ""2.0"": ""CASI SIEMPRE"", ""3.0"": ""ALGUNAS VECES"", ""4.0"": ""RARA VEZ"", ""5.0"": ""NUNCA""}}",category,"{""1"": ""Always"", ""2"": ""Almost always"", ""3"": ""Sometimes"", ""4"": ""Rarely"", ""5"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,label-related behaviour
water,Self-reported glasses of water per day; water source/fluoride exposure not identified,die11,die11: die11. ¿Cuántos vasos de agua al día consume Usted? Muestre Tarjeta 22,"{""die11"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""13.0"": ""13"", ""14.0"": ""14"", ""15.0"": ""15"", ""16.0"": ""16"", ""17.0"": ""17"", ""18.0"": ""18"", ""19.0"": ""19"", ""20.0"": ""20"", ""21.0"": ""21"", ""22.0"": ""22"", ""23.0"": ""23"", ""24.0"": ""24"", ""25.0"": ""25"", ""26.0"": ""26"", ""27.0"": ""27"", ""28.0"": ""28"", ""29.0"": ""29"", ""30.0"": ""30"", ""31.0"": ""31"", ""32.0"": ""32"", ""33.0"": ""33"", ""34.0"": ""34"", ""35.0"": ""35"", ""36.0"": ""36"", ""37.0"": ""37"", ""38.0"": ""38"", ""39.0"": ""39"", ""40.0"": ""40"", ""41.0"": ""41"", ""42.0"": ""42"", ""43.0"": ""43"", ""44.0"": ""44"", ""45.0"": ""45"", ""46.0"": ""46"", ""47.0"": ""47"", ""48.0"": ""48"", ""49.0"": ""49"", ""50.0"": ""50"", ""51.0"": ""OTRO VALOR, ESPECIFIQUE""}}",glasses/day,{},"Negative special codes and nonfinite values become missing. Preserve 0–50 glasses; code 51='other value, specify' is unquantified and missing; no clipping.",primary,dietary intake
soda_frequency,Sugar-sweetened soda consumption frequency converted to times/day,die12_cantidad + die12_unidad,die12_cantidad: die12_cantidad. Cantidad: ¿Cuántas gaseosas azucaradas consumió en el último mes? | die12_unidad: die12_unidad. Unidad: ¿Cuántas gaseosas azucaradas consumió en el último mes?,"{""die12_cantidad"": {}, ""die12_unidad"": {""1.0"": ""N° DE VECES AL DÍA"", ""2.0"": ""N° DE VECES A LA SEMANA"", ""3.0"": ""N° DE VECES AL MES"", ""4.0"": ""NO CONSUME""}}",times/day,{},"Negative special codes and nonfinite values become missing. Quantity / (1,7,30) for unit (1,2,3); unit4 nonconsumer=0, unknown/missing unit remains missing.",primary,dietary intake
juice_frequency,Sugar-sweetened juice consumption frequency converted to times/day,die13_cantidad + die13_unidad,die13_cantidad: die13_cantidad. Cantidad: ¿Qué tan seguido consumió jugos con azúcar el último mes? | die13_unidad: die13_unidad. Unidad: ¿Qué tan seguido consumió jugos con azúcar el último mes?,"{""die13_cantidad"": {}, ""die13_unidad"": {""1.0"": ""N° DE VECES AL DÍA"", ""2.0"": ""N° DE VECES A LA SEMANA"", ""3.0"": ""N° DE VECES AL MES"", ""4.0"": ""NO CONSUME""}}",times/day,{},"Negative special codes and nonfinite values become missing. Quantity / (1,7,30) for unit (1,2,3); unit4 nonconsumer=0, unknown/missing unit remains missing.",primary,dietary intake
oil,Most frequently used cooking oil/fat,die14,die14: die14. ¿Qué tipo de aceite o grasa se usa con más frecuencia para cocinar en su casa?,"{""die14"": {""0.0"": ""NINGUNO"", ""1.0"": ""ACEITE VEGETAL (MARAVILLA, MAIZ, PEPA DE UVA)"", ""2.0"": ""ACEITE DE OLIVA"", ""3.0"": ""MANTECA"", ""4.0"": ""MANTEQUILLA"", ""5.0"": ""MARGARINA"", ""6.0"": ""OTRO. ESPECIFIQUE:""}}",category,"{""0"": ""None"", ""1"": ""Vegetable oil"", ""2"": ""Olive oil"", ""3"": ""Lard"", ""4"": ""Butter"", ""5"": ""Margarine"", ""6"": ""Other""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,primary,dietary intake
household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,as29,as29: as29. ¿De dónde proviene el agua de la vivienda?:,"{""as29"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""1.0"": ""RED PÚBLICA CON MEDIDOR PROPIO"", ""2.0"": ""RED PÚBLICA CON MEDIDOR COMPARTIDO"", ""3.0"": ""RED PÚBLICA SIN MEDIDOR"", ""4.0"": ""POZO O NORIA"", ""5.0"": ""RÍO, VERTIENTE, LAGO O ESTERO"", ""6.0"": ""CAMIÓN ALJIBE"", ""7.0"": ""OTRA FUENTE. ¿CUÁL?""}}",category,"{""1"": ""Public network"", ""2"": ""Public network"", ""3"": ""Public network"", ""4"": ""Other"", ""5"": ""Other"", ""6"": ""Other"", ""7"": ""Other""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,extended sensitivity,context
